id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_temp_closed,attributes.menu_url,attributes.open24_hours,attributes.waitlist_reservation,station
yfzJiR-UbNVT6_tOd4neYA,meld-kitchen-sandwich-bar-bentonville-2,MELD Kitchen + Sandwich Bar,https://s3-media0.fl.yelpcdn.com/bphoto/fQ6cWiPQQ_19T42IQsvgxA/o.jpg,False,https://www.yelp.com/biz/meld-kitchen-sandwich-bar-bentonville-2?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,276,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.8,"['pickup', 'delivery']",$,+14798454640,(479) 845-4640,1022.3675223276065,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.35897,-94.21563,1120 S Walton Blvd,Ste 152,,Bentonville,72712,US,AR,"['1120 S Walton Blvd', 'Ste 152', 'Bentonville, AR 72712']",,https://www.meldkitchen.com/menu,,,0
abN69kKRGfG4-SyMJhWd7w,tavola-trattoria-bentonville,Tavola Trattoria,https://s3-media0.fl.yelpcdn.com/bphoto/pezUvdq-EnIMkq2-2SWz4Q/o.jpg,False,https://www.yelp.com/biz/tavola-trattoria-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,633,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'french', 'title': 'French'}, {'alias': 'greek', 'title': 'Greek'}]",4.1,['delivery'],$$,+14797154738,(479) 715-4738,1131.279912337831,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.3717094721,-94.208267792595,108 SE A St,,,Bentonville,72712,US,AR,"['108 SE A St', 'Bentonville, AR 72712']",,,,,0
E_-cU7G4sVlE3NkUNQoPmA,table-on-6th-bentonville,Table on 6th,https://s3-media0.fl.yelpcdn.com/bphoto/SCStmEjRu66r8vhahAbYAw/o.jpg,False,https://www.yelp.com/biz/table-on-6th-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,200,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'New American'}]",4.3,[],$$,+14792730553,(479) 273-0553,1342.4313508040261,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.36627720858491,-94.20465200010396,409 SE 6th St,,,Bentonville,72712,US,AR,"['409 SE 6th St', 'Bentonville, AR 72712']",,https://tableon6th.com/menus/,,,0
hgOJKwMkQncCiVan9e5vSQ,pedalers-pub-bentonville,Pedaler's Pub,https://s3-media0.fl.yelpcdn.com/bphoto/_AY8UCfMMV_exOP8q1VFHA/o.jpg,False,https://www.yelp.com/biz/pedalers-pub-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,429,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,['delivery'],$$,+14792683285,(479) 268-3285,884.9819524231455,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.36664413151773,-94.2097411526476,500 S Main St,,,Bentonville,72712,US,AR,"['500 S Main St', 'Bentonville, AR 72712']",,http://pedalerspub.com/menu.html,,,0
IoBL7iqyay0KYeVZtNJL1A,bentonville-taco-and-tamale-bentonville,Bentonville Taco & Tamale,https://s3-media0.fl.yelpcdn.com/bphoto/olyT5Fs_za8FV82nuIHNsA/o.jpg,False,https://www.yelp.com/biz/bentonville-taco-and-tamale-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,267,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,['restaurant_reservation'],$$,+14794484480,(479) 448-4480,1102.073601965745,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.37226785687345,-94.20901453491886,101 W Central Ave,,,Bentonville,72712,US,AR,"['101 W Central Ave', 'Bentonville, AR 72712']",,,,True,0
7l7KYKb1sa9wzksdXaH5pA,the-preachers-son-bentonville,The Preacher's Son,https://s3-media0.fl.yelpcdn.com/bphoto/vWtv7XiiYgxyXELATmrg8w/o.jpg,False,https://www.yelp.com/biz/the-preachers-son-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,444,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",4.2,['delivery'],$$$,+14794456065,(479) 445-6065,1054.1790985687335,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",36.37318,-94.2104899,201 NW A St,,,Bentonville,72712,US,AR,"['201 NW A St', 'Bentonville, AR 72712']",,https://www.thepreachersson.com/menu/,,,0
3PhahIvrm74_UIO1b-F9AA,tusk-and-trotter-american-brasserie-bentonville,Tusk & Trotter American Brasserie,https://s3-media0.fl.yelpcdn.com/bphoto/T58RAFdoUOMNUB10YPIzDw/o.jpg,False,https://www.yelp.com/biz/tusk-and-trotter-american-brasserie-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,775,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.1,['delivery'],$$,+14792684494,(479) 268-4494,1129.343562847675,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.37158,-94.20831,110 SE A St,,,Bentonville,72712,US,AR,"['110 SE A St', 'Bentonville, AR 72712']",,http://www.tuskandtrotter.com/#menu,,,0
pkA5KP0lBEfoSiGiJYFPmQ,table-mesa-bentonville,Table Mesa,https://s3-media0.fl.yelpcdn.com/bphoto/J2jOV4WQxm47j8zB_Wuk5w/o.jpg,False,https://www.yelp.com/biz/table-mesa-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,711,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],$$,+14797156706,(479) 715-6706,1144.468452171715,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 6}, {'is_overnight': False, 'start': '1600', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.372246628522,-94.208452655592,110 E Central Ave,,,Bentonville,72712,US,AR,"['110 E Central Ave', 'Bentonville, AR 72712']",,http://www.tablemesabistro.com/menu/TABLE_MESA_MENU.pdf,,,0
01HWyvyXEXcwr1fgtdNpTw,the-hive-bentonville,The Hive,https://s3-media0.fl.yelpcdn.com/bphoto/pWQ0eHTaJXTu-mO5nV8_Hg/o.jpg,False,https://www.yelp.com/biz/the-hive-bentonville?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,428,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,['delivery'],$$,+14792866575,(479) 286-6575,1308.994739149001,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '1930', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.374038588007934,-94.20769090268897,200 NE A Street,,,Bentonville,72712,US,AR,"['200 NE A Street', 'Bentonville, AR 72712']",,https://app.misebox.io/guests/21c-bentonville,,,0
9tBjGtGAW946W2wqAXjXCQ,crepes-paulette-bentonville-9,Crepes Paulette,https://s3-media0.fl.yelpcdn.com/bphoto/eTmeSPFfCwr_QPW9BaMasw/o.jpg,False,https://www.yelp.com/biz/crepes-paulette-bentonville-9?adjust_creative=801gSx8JkE4veFRsat6pHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=801gSx8JkE4veFRsat6pHA,375,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'french', 'title': 'French'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.6,"['pickup', 'delivery']",$,+14792501110,(479) 250-1110,952.9248272168523,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1600', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",36.36458442016396,-94.20946924896182,100 SW 8th St,Ste 4,,Bentonville,72712,US,AR,"['100 SW 8th St', 'Ste 4', 'Bentonville, AR 72712']",,https://drive.google.com/file/d/1P2bJWeU6tB37jtXAyZfYggg_SwofbNGK/view,,,0
